"","X0","X0.01","X0.02","X0.03","X0.04","X0.05","X0.06","X0.07","X0.08","X0.09"
"0",0.5,0.496010643685368,0.492021686283098,0.488033526585887,0.484046563147169,0.480061194161628,0.476077817345893,0.472096829819479,0.468118627986013,0.464143607414828
"0.1",0.460172162722971,0.456204687457683,0.452241573979416,0.448283213345439,0.444329995194094,0.440382307629757,0.436440537108567,0.432505068324962,0.428576284099099,0.424654565265205
"0.2",0.420740290560897,0.416833836517558,0.412935577351785,0.409045884857994,0.405165128302204,0.401293674317076,0.397431886798239,0.39358012680196,0.389738752444203,0.385908118801123
"0.3",0.382088577811047,0.378280478177981,0.37448416527668,0.370699981059346,0.366928263963972,0.363169348824381,0.359423566782009,0.355691245199453,0.351972707575837,0.348268273464018
"0.4",0.344578258389676,0.340902973772323,0.337242726848249,0.333597820595458,0.329968553660594,0.32635522028792,0.322758110250348,0.319177508782556,0.315613696516223,0.31206694941739
"0.5",0.308537538725987,0.305025730897519,0.301531787546966,0.298055965394876,0.294598516215698,0.291159686788346,0.287739718849027,0.284338849046324,0.280957308898564,0.277595324753465
"0.6",0.274253117750073,0.270930903783006,0.267628893468983,0.264347292115677,0.261086299692861,0.257846110805865,0.254626914671336,0.25142889509531,0.24825223045357,0.245097093674309
"0.7",0.241963652223073,0.238852068089987,0.235762497779251,0.232695092300897,0.22964999716479,0.226627352376868,0.223627292437599,0.220649946342649,0.217695437585733,0.214763884163637
"0.8",0.211855398583397,0.208970087871601,0.206108053585813,0.203269391828068,0.20045419326045,0.197662543122692,0.194894521251808,0.192150202103696,0.189429654776712,0.186732943037172
"0.9",0.184060125346759,0.181411254891797,0.178786379614372,0.176185542245258,0.173608780338624,0.171056126308482,0.168527607466838,0.166023246063529,0.163543059327692,0.161087059510831
"1",0.158655253931457,0.156247645021254,0.153864230372735,0.151505002788344,0.149169950330981,0.146859056375896,0.144572299663909,0.142309654355939,0.140071090088769,0.137856572032035
"1.1",0.135666060946383,0.133499513242747,0.131356881042731,0.129238112240018,0.127143150562798,0.12507193563715,0.123024403051343,0.121000484421018,0.119000107455201,0.117023196023109
"1.2",0.115069670221708,0.113139446443977,0.111232437447834,0.109348552425692,0.107487697074587,0.105649773666855,0.1038346811213,0.102042315074819,0.100272567954442,0.0985253290497477
"1.3",0.0968004845856102,0.0950979177952389,0.0934175089934716,0.0917591356502807,0.0901226724644523,0.0885079914374019,0.0869149619470849,0.0853434508219668,0.0837933224150141,0.0822644386776688
"1.4",0.0807566592337709,0.0792698414533922,0.0778038405265463,0.0763585095367389,0.0749336995343269,0.0735292596096482,0.0721450369658937,0.0707808769916854,0.0694366233333316,0.0681121179667253
"1.5",0.0668072012688579,0.0655217120889164,0.0642554878189357,0.0630083644639783,0.0617801767118118,0.0605707580020589,0.0593799405947929,0.0582075556385529,0.0570534332377541,0.0559174025194693
"1.6",0.0547992916995579,0.0536989281481196,0.0526161384542519,0.0515507484900892,0.0505025834741036,0.049471468033648,0.0484572262667227,0.0474596818029472,0.0464786578637199,0.0455139773215497
"1.7",0.0445654627585429,0.0436329365240318,0.0427162207913288,0.0418151376135948,0.0409295089788073,0.040059156863817,0.0392039032874825,0.0383635703628711,0.0375379803485167,0.0367269556987262
"1.8",0.0359303191129257,0.0351478935840387,0.0343795024458899,0.0336249694196282,0.0328841186591638,0.0321567747956136,0.0314427629807526,0.0307419089294659,0.0300540389611997,0.0293789800404093
"1.9",0.0287165598160017,0.0280666066597724,0.0274289497038367,0.0268034188770549,0.0261898449404526,0.0255880595216385,0.0249978951482203,0.0244191852802225,0.0238517643415084,0.0232954677502117
"2",0.0227501319481791,0.0222155944294314,0.0216916937676467,0.0211782696426722,0.02067516286607,0.0201822154057044,0.0196992704093769,0.0192261722275173,0.0187627664349378,0.018308899851659
"2.1",0.0178644205628166,0.0174291779376571,0.0170030226476329,0.0165858066836051,0.0161773833721662,0.0157776073910906,0.0153863347839255,0.0150034229737323,0.0146287307759894,0.014262118410669
"2.2",0.0139034475134987,0.0135525811464201,0.0132093838072564,0.0128737214386021,0.0125454614359467,0.0122244726550448,0.0119106254185472,0.0116037915219037,0.0113038442385529,0.0110106583244115
"2.3",0.010724110021676,0.0104440770619512,0.0101704386687198,0.0099030755591644,0.00964186994535849,0.00938670553483873,0.00913746753057283,0.00889404263033694,0.00865631902551671,0.00842418639934586
"2.4",0.00819753592459629,0.00797626026073389,0.00776025355055381,0.00754941141630937,0.00734363095534851,0.00714281073527158,0.00694685078862448,0.00675565260714081,0.00656911913554692,0.00638715476494334
"2.5",0.0062096653257763,0.00603655808041282,0.00586774171533273,0.00570312633295086,0.00554262344308276,0.00538614595406685,0.00523360816355595,0.0050849257489912,0.0049400157577708,0.00479879659712634
"2.6",0.0046611880237189,0.00452711113296748,0.00439648834812147,0.0042692434090895,0.00414530136103619,0.00402458854275846,0.00390703257485293,0.00379256234768564,0.00368110800917513,0.00357260095239988
"2.7",0.00346697380304081,0.00336416040666933,0.00326409581589145,0.00316671627735793,0.00307195921865063,0.00297976323505469,0.00289006807622628,0.00280281463276516,0.00271794492270139,0.00263540207790508
"2.8",0.00255513033042806,0.00247707499878599,0.00240118247418937,0.00232740020673167,0.00225567669154244,0.00218596145491336,0.00211820504040473,0.00205235899493987,0.00198837585489443,0.00192620913218797
"2.9",0.00186581330038414,0.00180714378080653,0.0017501569286762,0.00169481001927736,0.0016410612341571,0.00158886964736497,0.00153819521173815,0.00148899874523756,0.00144124191734011,0.00139488723549234
"3",0.00134989803163018,0.00130623844876955,0.00126387342767238,0.00122276869359234,0.00118289074310449,0.00114420683102278,0.00110668495740933,0.001070293854679,0.00103500297480292,0.00100078247661408
"3.1",0.000967603213218429,0.00093543671951417,0.000904255199822409,0.000874031515631635,0.000844739173458694,0.000816352312828627,0.000788845694375637,0.000762194688067297,0.000736375261553991,0.000711363968645423
"3.2",0.000687137937915906,0.000663674861440024,0.000640952983660111,0.000618951090386889,0.000597648497934468,0.000577025042390818,0.000557061069024672,0.000537737421829744,0.00051903543320702,0.000500936913785769
"3.3",0.000483424142383823,0.000466479856107594,0.000450087240592161,0.000434229920381698,0.000418891949450411,0.000404057801864061,0.000389712362582071,0.000375840918400121,0.000362429149033081,0.000349463118338007
"3.4",0.000336929265676916,0.000324814397418912,0.000313105678581233,0.00030179062460867,0.000290857093290775,0.000280293276816208,0.000270087693963505,0.000260229182427496,0.000250706891280566,0.000241510273567864
"3.5",0.000232629079035552,0.000224053346991119,0.000215773399294743,0.000207779833480646,0.000200063516007344,0.000192615575635656,0.0001854273969333,0.000178490613904869,0.000171797103745952,0.00016533898072013
"3.6",0.000159108590157554,0.000153098502573775,0.000147301507907492,0.000141710609875838,0.00013631902044582,0.000131120154420502,0.000126107624138504,0.000121275234285374,0.000116616976815384,0.000112127025982262
"3.7",0.000107799733477403,0.000103629623674045,9.96113889759306e-05,9.5739885268928e-05,9.20101274741186e-05,8.84172852008165e-05,8.49566784980101e-05,8.1623773702698e-05,7.84141793835966e-05,7.53236423786945e-05
"3.8",7.23480439251308e-05,6.94833958798756e-05,6.67258370296949e-05,6.40716294888844e-05,6.15171551832647e-05,5.90589124189317e-05,5.66935125342655e-05,5.44176766337084e-05,5.22282324018285e-05,5.01221109961964e-05
"3.9",4.80963440176105e-05,4.61480605562163e-05,4.4274484312078e-05,4.24729307887682e-05,4.07408045585575e-05,3.90755965977941e-05,3.74748816910798e-05,3.59363159028599e-05,3.4457634115059e-05,3.30366476294082e-05
"4",3.16712418331254e-05,3.03593739266235e-05,2.90990707119361e-05,2.78884264405689e-05,2.67256007194968e-05,2.56088164740461e-05,2.45363579664142e-05,2.35065688685999e-05,2.25178503885296e-05,2.15686594481846e-05
